content/language,content/application_id,content/version,content/date,content/rating,content/title,content/body,content/body_length,content/id,content/author/name,content/author/photo,content/author/profile,content/response/body,content/response/date,content/sort_score/most_useful,content/sort_score/most_recent
en,com.wsl.noom,10.46.0,2022-12-27T20:23:36Z,2,,"I use to love this app, but it was glitchy from time to time. Eventually I stopped using it bc I utilized it and benefited from it. I was going to renew my subscription but decided to see if I could pause it momentarily, but the fact that they make it impossible to find where to cancel your subscription makes me want to do just that. Now, I am determined to completely cancel it once I can figure it out. Their virtual chat wasn't useful at all either.",454,eca66b7b-36c7-4d8c-b4b1-4cf94eee51c9,Carrie S,https://play-lh.googleusercontent.com/a-/AD5-WCkgOn9YcUleDMWtve5SJDsCm8tmwYMQYiWQ2v6G,,"Carrie, we’re so sorry to hear you’ve run into this issue! Can you please reach out to us at GPSreviews@noom.com so our team can help you resolve this?",2022-12-27T20:30:18Z,1672939001,1672617880
en,com.wsl.noom,10.46.0,2022-12-23T16:15:09Z,2,,"Program is great, app and support need help. The daily step goal keeps resetting to 2,000 even though i meet the daily goal. When you chat with support they are completely unhelpful, the display doesn't automatically scroll when they send a message so you can't tell they've responded. If you navigate out of support to look at the home screen it doesn't give you a notification if they've sent you a message.",409,897a9cf3-467a-4269-8c37-bd4219b07083,Chrissy Gerrard,https://play-lh.googleusercontent.com/a-/AD5-WCkp5zS4BH6h27l5nhVKUV_8uEtxNzGYYpzsL0zRxnw,,"Chrissy, it's great to hear that you're enjoying the program, and our team would like the chance to help with any program concerns you have! Can you please reach out to us at GPSreviews@noom.com?",2022-12-23T16:27:32Z,1672939000,1672450871
en,com.wsl.noom,10.46.0,2023-01-02T16:27:45Z,2,,"Doesn't live up to the hype. The meal tracker is an inferior version of the WW app. There is no way to save a recipe outside of the installed recipes in the Android version - in my opinion not optimizing for Android in 2023 is inexcusable. I switched from WW because I wasn't happy with the points system on WW, but am considering switching back after several months of using Noom. Ultimately both programs are based on very similar, sound weight loss principles, however.",472,30cf71bf-2321-4349-85f4-1c5774078b10,Eva Powell,https://play-lh.googleusercontent.com/a-/AD5-WCm1_eKcAjuAeupH1U3A6lWWvWLPTf08wBYOFH98EA,,"We are sorry to hear that you're disappointed with Noom, Eva, and we thank you for your feedback! Our Support Team would love to help or hear further feedback! Remember - you can always reach us at GPSreviews@noom.com if you need anything.",2023-01-02T16:36:39Z,1672938999,1672921048
en,com.wsl.noom,10.44.1,2022-12-06T20:07:51Z,5,,"This is a great program, making it easy to log your meals. Lots of foods are already loaded. You can track your exercise, weight, foods. What really inspires is all the psychology. You find out your weaknesses and how to avert the when and what to do about the why. Reading the notes and going through the fun quizes made this a fun experience. I've been on the program for 2 weeks and I've lost 9 pounds so far. Inspiring. I'm looking forward to completion and beyond with my new habits.",488,1d984e6a-9006-4569-a35a-5999f07c4390,BenJoDan,https://play-lh.googleusercontent.com/a-/AD5-WCnvMOh87YWHfERtBTF0mPLszZ69PfZrNk8WXdzP8A,,"We are so glad to hear you're enjoying Noom's approach! Keep up the great work!
",2022-12-06T20:10:27Z,1672938998,1670995493
en,com.wsl.noom,10.44.1,2022-12-10T14:40:52Z,5,,"Noom has really helped me think differently about eating and weight loss. The lessons can be a bit cringy at times, but the information is really good. I kind of knew what I should be doing to hit my goals, but Noom really brought me a lot of clarity and helped me start making progress again. There are occasional inconsistencies when logging your food, but they have a feature that let's you report it to help them improve.",425,e794244a-8d68-4fc4-a171-d754d2da45bc,Greg Collins,https://play-lh.googleusercontent.com/a-/AD5-WClubvCt3FZ9HfDdflQaNy3Z335r8aROXdxCtiCc4w,,"Greg, thank you for taking the time to share your honest experience! We love to hear that Noom's approach is working for you, and our team is here to help if you need anything! You can always reach us at GPSreviews@noom.com.",2022-12-10T15:24:29Z,1672938997,1671368047
en,com.wsl.noom,10.46.0,2022-12-30T15:33:19Z,5,,I have been using Noom for a little over a month. Its simple and I was connected with a great real person coach. I am using the lessons and feel its a great app but you get out of it what you are willing to put into it. It works if you actually put into practice what it teaches. It also leaves room to make it a personalized weight loss journey. It makes it a lifestyle change and not a diet. My food mindset is healing because of Noom.,437,06aae69c-5ebb-424a-84f0-13da412fb3df,Traci Applegett,https://play-lh.googleusercontent.com/a-/AD5-WCmNdUv4x85chF5nV9dDo_p_CQoOStShSLzUtCBU,,"Wow! That was wonderful to read, Traci! We're so happy to see you achieve your goals. Thank you for being part of the Noomily!",2022-12-30T15:36:27Z,1672938996,1672837075
en,com.wsl.noom,10.36.4,2022-10-20T11:47:15Z,1,,"I have been using the android app for 2 years. Recently, it takes forever to open and then once it does, it takes a long time to update anything. All of a sudden, I cannot update my steps. Since I have a Samsung watch it doesn't auto connect and I have to manually enter. Getting really frustrated. Nothing in app works well with Samsung. Cannot be synced to my watch. Have to manually update my steps all the time and today.. that isnt working ...again. I would quit the app, but have a lot in it.",498,1a10b130-d680-478a-941c-f787c8371bdc,Dawn Hill,https://play-lh.googleusercontent.com/a/AEdFTp7dq5-YeGzfgAlbx0xQXkEkq20X3_m3NfhBq6uW,,"We're so sorry to hear you're running into technical issues, Dawn! We'd love to help you troubleshoot - would you mind shooting us an email at GPSreviews@noom.com? We'll get our team on it ASAP!",2022-06-27T14:00:51Z,1672938995,1666773599
en,com.wsl.noom,10.44.1,2022-12-04T03:58:04Z,1,,"Buggy, and doesn't work. I pressed the wrong button, and now I'm paying $160 every 6 months for something I don't want. First thing I go to is Manage Subscriptions and try to cancel and surprise surprise, it doesn't work. I reinstall and restart the app multiple times and I can't type in my email and password to cancel this thing. Thanks a lot loom, instead of losing weight, I'm losing money. All I wanted was a free trial to test this dang app out. Edit: Right after posting, I am now paying 180",499,abb259c8-eb3d-4587-b7fd-ffa61fa42981,Abby Crowe,https://play-lh.googleusercontent.com/a-/AD5-WCmvTxCYgG5xQePAY0Q5-xTizbNrpAVEsu7FaoG0vw,,"Thank you for sharing this feedback with us, it helps us improve where available. You can reach us at GPSreviews@noom.com so we can address any concerns you have.",2022-12-04T04:17:00Z,1672938994,1670696533
en,com.wsl.noom,10.38.1,2022-10-30T10:34:18Z,5,,"Second time trying Noom. Love it so far (again). The daily articles are easy to read and only take a few minutes. I like that I was able to set my own goal for how much reading I wanted to do each day. I like the update to the food colors to include orange vs red although I'd like to have a 4th category that is still red (meaning stop, don't). Like any of these apps though, it's all about the person committing time to do it.",428,4095baf5-f06a-4120-8b7b-2019b6c97f29,Donna Ventura,https://play-lh.googleusercontent.com/a-/AD5-WCnsgzecJ-YX3TjIhVhuVglgnH09n20E3AQ7j0i7YSw,,"Wow! That was wonderful to read, Donna! We're so happy to help you achieve your goals. Thank you for being part of the Noomily!",2022-10-30T10:59:16Z,1672938993,1667608566
en,com.wsl.noom,10.43.0,2022-11-28T17:45:45Z,1,,Why Won't You Let Me Love You? I wanted to love the app. It has everything I want/need. But the app itself is terrible! I have had to uninstall it twice. It won't properly track what I've read or done. It won't consistently sync with my fitbit. And I've reached out to the help service twice with no response. This is my second time with Noom and I never experienced this with the app before. Pretty pointless program if the app won't work. ☹️,443,cdcc6ad2-ca7b-4b3f-b1f0-83b4afd6d0e3,Erica Wilmer,https://play-lh.googleusercontent.com/a-/AD5-WCnXjiEV05ASGPtTeSARv6ztNZ9mM-WKAKXcl4FWAQs,,"We're so sorry to hear you're running into technical issues with the app, Erica! We'd love to help you troubleshoot - would you mind shooting us an email at GPSreviews@noom.com? We'll get our team on it ASAP!",2022-11-28T17:50:37Z,1672938992,1670095700
en,com.wsl.noom,10.39.0,2022-11-04T00:04:45Z,3,,"I like the daily readings. I'm disappointed in the food tracking option. There is no option to create a recipe. I would like to be able to create a recipe that is multiple servings and the app be able to calculate the calories per serving. You can save ""meals"" but the quantities would be for a single serving. This option may determine whether or not I pay for anything past the trial.",386,7093f497-49cf-43d3-9005-0f60381819df,Erica Alexander,https://play-lh.googleusercontent.com/a/AEdFTp75uzrZnHFOMK1ugPHE1-Dva0IRGS45J8L-XP_N,,"Thank you for your honest feedback, Erica. Please reach out to us at GPSreviews@noom.com if we can help with anything and keep up the great work!",2022-11-04T00:52:40Z,1672938991,1668071118
en,com.wsl.noom,10.41.2,2022-11-20T18:05:30Z,3,,"Its a good program as everyday when you open the app there are ""lessons"" for the day, which is great. There is several good things about the app itself but there's definitely room for improvement; There is a specific guide to choosing/log foods but awkward to navigate. It does not sync well with other apps/devices like FitBit or smart scales. It often errors when monitoring steps. Again, the lessons are usually good as are their ""psych tricks"" (their words) but actual support is just ok.",492,52ad42c8-233b-4755-bec7-c3f82a9e5e49,Kelvin Lev,https://play-lh.googleusercontent.com/a-/AD5-WCkyEBKhHJGk8UPV14bCFuAAdeZwnF-v3gLOcVkj4w,,"Thank you for your feedback and suggestions, Kelvin! We want Noom to be the best experience possible, and your feedback is invaluable to that process.",2022-11-20T18:52:20Z,1672938990,1669470622
en,com.wsl.noom,10.43.0,2022-12-01T16:11:10Z,2,,"Agree with everyone here. The program is great so far and I'll continue to try it, but the app is glitchy and difficult to navigate. It won't show or track my steps. I can't type in my calories for a meal and I have to instead scroll down a long list of numbers (sometimes hundreds or thousands long) until I get to the exact number of calories I want. It can't sync with samsung fit on my galaxy watch so I have to manually enter my fitness numbers. It feels like the app wants me to uninstall.",495,11a348cd-198a-4236-a215-b08bd285067d,Scott Hill,https://play-lh.googleusercontent.com/a/AEdFTp6dKLQUQMmcMHTzo-x4GhIqSPOnE30-BZLkRyfB,,"Here at Noom, we are working hard to improve and genuinely appreciate this honest feedback, Scott. Our Support Team would really love to hear from you if you would like to provide further feedback. Please feel free to reach out to us at GPSreviews@noom.com.",2022-12-01T16:19:51Z,1672938989,1670428050
en,com.wsl.noom,10.38.1,2022-11-03T13:37:08Z,5,,"Great motivation! I'm doing Noom for the second time and I have to say it's so much better! Same great program to teach you the Psychology & science of a healthy relationship with food & fitness but they've changed it around so you don't get bored. When I did it the first time I held back- just a little. I was afraid to believe it would work. This time I'm all in, doing all the steps, following the optional meal and workout plans and it's so much fun! Going all in has made all the difference.",497,3ca0048f-5c18-4e4a-991a-877df3d0307e,Heather Wellenstein,https://play-lh.googleusercontent.com/a/AEdFTp47EFyWjVmo9__3nxuiYU8Hq9HS4Poe11msNEl4,,"We are so inspired by your dedication to your wellness, Heather! Thanks for letting us help you find your healthy balance!",2022-11-03T13:40:59Z,1672938988,1668071109
en,com.wsl.noom,10.43.0,2022-11-30T10:32:22Z,5,,"Noom is so enjoyable and easy to use. The daily lessons are very helpful in changing my thinking patterns and behavior, recipes are helpful, and the tracking is easy because of the extensive food data base. I like the positive notes I receive, and encouraging others throughout the day. It's like a personal coach. So many good tips along the way. Thank you Noom!",363,34677458-90b8-4e9d-8ed7-bf86086adb9d,Leslie Byrd,https://play-lh.googleusercontent.com/a/AEdFTp5S-mAJCMhtAgaWkPafw9s0oANPwBFaF3PC3AGl,,"We're so glad to be a part of your success story, Leslie! Keep up the amazing motivation - we're always available at GPSreviews@noom.com if you need anything at all.",2022-11-30T10:36:13Z,1672938987,1670275417
en,com.wsl.noom,10.41.2,2022-11-21T00:20:56Z,3,,I'm having a problem with logging meals though. Sometimes I go to review a meal earlier in the day (or previous day) and it looks like it's going well until you get to the confirmation page and it's magically become the current meal. I guess it isn't super important but kind of annoying if striving for accuracy. It also happens when adding exercise. Now it thinks I've burned 900 calories in one day and I can't delete it.,424,fc00982c-dc9d-49ac-b1b8-70da4e3f8540,Maya R,https://play-lh.googleusercontent.com/a/AEdFTp5FPep9TO06DhXdtzG93-eYWwNq55YQTopZUEiU,,"We’re glad that you’re enjoying what Noom has to offer, Maya, and your honest feedback here is appreciated! We want Noom to be the best app we can make, and your feedback is invaluable to that process. Remember, you can always reach out to us at GPSreviews@noom.com if we can help with anything!",2022-10-03T20:11:04Z,1672938986,1669553314
en,com.wsl.noom,10.36.2,2022-10-20T12:03:06Z,2,,"It was great until no matter what I did or how many times I reached out to support, I can't use the app the way it's intended. I payed for it! It gives me a noomcoin every time I log in but I can't read anything. My course progress is halfway done but it starts me at the beginning. It's so frustrating. After 3 weeks of this with no answer, I'm cancelling my subscription and deleting the app. It's ridiculous. Hope someone else can find some help with this. It definitely helped me while it worked.",500,2d15aace-1d26-409a-b7ec-50d456725060,Emily Tilley (Em),https://play-lh.googleusercontent.com/a-/AD5-WCnbDmVT5-WUzfkX_lsMPNQEceixvzxGqJfI9kH8VxE,,"Oh no, Emily, that doesn’t look right! When you get a moment, can you reach out to us at GPSreviews@noom.com? We definitely want to look into this further for you. Thank you!
",2022-10-20T12:07:42Z,1672938985,1666773600
en,com.wsl.noom,10.40.0,2022-11-16T13:10:23Z,1,,"It's not worth it. The classes are mediocre and even though you're paying for it, it sends a bunch of ""motivational popups"" when all I'm trying to do is log my weight/food/exercise. The calorie tracking portion of the app is also horrible. You can type in the amount of grams, you have scroll all the way through like an old 2nd gen iPod touch. I would also say about 60% of the calories listed are not correct, so I typically have manually enter the calories of an individual food with said dial. .",499,9c471098-8343-431a-a379-60e2a0a083d9,E,https://play-lh.googleusercontent.com/a/AEdFTp7rsWql9S2gBEgO5cc2cg5PIpA_oYajdmmT2HLvww,,"We're so sorry to hear that you've been experiencing trouble. Our priority is to ensure that you have an ideal experience, always, and we are sad to hear that we have fallen short. Please let us know how we can help by sending us a quick message at GPSreviews@noom.com.",2022-11-16T13:17:08Z,1672938984,1669088084
en,com.wsl.noom,10.44.1,2022-12-04T13:43:32Z,5,,"The combination of smart insights, nutrition education, and psychology, plus practical tracking, make for a wonderful way to up your health and wellness. I really feel better, have more energy, and am coping with stress better too. I've been using Noom for about a month, and, yes, I've lost some weight too! Quite honestly, this app is keeping me focused on whole health, not just the scale. I'm really happy with my commitment to being a Boomer!",447,050448c5-183d-4c9b-95c5-583b99ea8cd8,Lorraine Boucher,https://play-lh.googleusercontent.com/a-/AD5-WCkUCaEtUWi54_yFfCZ4svk6s9fnQk0eOBVPHBh44w,,"Lorraine, it is wonderful to hear that you're benefitting from all the different aspects of Noom! We are so grateful to be a part of your wellness journey! Happy Noomin'!😊",2022-12-04T13:53:35Z,1672938983,1670696538
en,com.wsl.noom,10.38.1,2022-10-30T22:58:00Z,3,,"Constant issues. The tech support regularly suggests to update the app, or delete cache and data and reinstall. Sucks for trying to keep a decent record of your progress because they do not guarantee that all your data is saved on their servers. Worse, why do I have to check for updates when all my other apps automatically update. So frustrating. For what you pay they should have a better app.",396,82f1f2b3-86c6-4b34-b9ad-86712d527ea8,M B H Shakespeare,https://play-lh.googleusercontent.com/a-/AD5-WCkwlPrz2QAyg3GWtchXhV3_DX3WRk22hD3id1er_Q,,"We appreciate you taking the time to share your thoughts! Here at Noom, we are always working to make our program the best it can be, and your feedback is invaluable to that process. We encourage you to reach us at GPSreviews@noom.com with any questions or additional feedback that you may have! We are always here to help!",2022-10-30T23:25:01Z,1672938982,1667702587
en,com.wsl.noom,10.46.0,2022-12-27T02:31:19Z,4,,Needs a few tweaks... for instance it only tells you how many calories you've consumed total in the green category. I wish it showed the total for each category so you don't have to add it up yourself in the orange category. Would be very helpful. Also doesn't always let you update your steps. Not sure why it doesn't sync to my steps on my phone.,348,52dea70d-18e7-4505-b175-4515a7c95f37,iwusinger,https://play-lh.googleusercontent.com/a-/AD5-WCkPw_R9QHNDBHsiW8WL0dlhWaNOlEgH9qqQnEAlcg,,We're so sorry to hear you're running into technical issues! We'd love to help you troubleshoot - would you mind shooting us an email at GPSreviews@noom.com? We'll get our team on it ASAP!,2022-12-27T02:37:33Z,1672938981,1672617875
en,com.wsl.noom,10.44.1,2022-12-05T17:25:52Z,5,,Noom keeps me structured to staying on course. They even have guides and coaches who actually give me time to ask questions and receive answers quickly. The lessons are easy to follow. The app is very easy to use and their lessons will wake you up to the science and psychology of why you may have had problems with weight loss. It's opened my eyes.,349,89eb367d-c34a-44da-bcc7-7213981e4327,Jerry Miley,https://play-lh.googleusercontent.com/a/AEdFTp6Iu1dl58X_ECdTIvK61s4WQ30J_3bmbB0ZfRJr,,"This is what we love to hear, Jerry! At a time when so many things feel complicated, we want wellness to be simple! Congratulations on all of your hard work!",2022-12-05T17:28:26Z,1672938980,1670827475
en,com.wsl.noom,10.45.3,2022-12-21T15:24:25Z,5,,"This app is incredible. The course is made unique for my goals/needs and keeps me motivated so it's easy to be consistent with. I lost 8 pounds in my first month without any struggle! Highly recommended. You can even talk to personal coaches and get as much support as you need with no additional costs! Look no further, it's 100% worth it and if you are consistent you WILL see results.",387,3d571231-1b05-4f20-a579-ead944e8f7af,Josh Boettcher,https://play-lh.googleusercontent.com/a-/AD5-WCk4lfUbYYtteY7wEA_Xmk-7GWZN27LxfIq90FRPfg,,"We love hearing that you're excited and already enjoying your program, Josh! We hope your experience is excellent and if you ever need us we are always here to help!",2022-12-21T15:26:57Z,1672938979,1672450851
en,com.wsl.noom,10.43.0,2022-12-01T03:23:54Z,4,,"I really appreciate the psychology and support. The idea of being able to choose your path by placing foods in categories and teaching that no food is bad, its just food, has been incredibly helpful for me. I feel empowered making healthy choices. My only negative is I cannot create and save my own recipes for future reference. I hope that changes.",350,be18a46d-c0c2-4c02-b6f7-6e27089028a8,Lori Trangsrud,https://play-lh.googleusercontent.com/a-/AD5-WCk70fH_yhHqCka97PzbTtbWTxy9ay8xkQ3SK3wIJQ,,"We’re glad that you’re enjoying what Noom has to offer, Lori, and your honest feedback here is appreciated! We want Noom to be the best app we can make, and your feedback is invaluable to that process.
",2022-09-29T11:55:57Z,1672938978,1670308714
en,com.wsl.noom,10.36.2,2022-10-19T00:11:59Z,4,,"I'm finding the accountability and the approach to short term goal settings very unique to Noom, compared with other food tracking apps. Two big critiques: the bar code scanner does not work well and it is not easy to put in and save homemade recipe. (Saving a meal is one thing, but when making a large recipe like a pot of soup or something, it went be better to put in the whole recipe and have the app divide it into servings)",430,4b898aa9-9c01-48cf-b16f-83dea2623647,Melissa Atlas,https://play-lh.googleusercontent.com/a-/AD5-WCm8qz4QLEvsLAki9LhAtBPBxDvjv3X1MGS6xE3jSw,,"We’re glad that you’re enjoying what Noom has to offer, Melissa, and your honest feedback here is appreciated! We want Noom to be the best app we can make, and your feedback is invaluable to that process.",2022-10-19T00:22:14Z,1672938977,1666594320
en,com.wsl.noom,10.44.1,2022-12-04T21:45:17Z,3,,"There are many ways to be healthy. Noom hits some of them. It provides a lot of information but is not always easy to follow through on. The second time through doesn't have a one on one coach, which is ok. It's just one a week. It got a little tedious after a month the first time through. The group chat feature is missing or I'm not finding it. I like the updates to the app from the last time. The extra food plan and exercise plan was not worth it. The food plan are just links back to Noom app",499,21b9eebc-8ee2-4279-9825-07b283e87d65,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,,"Thank you for taking the time to share your honest feedback, as it helps us make Noom the best it can be. Our team would be happy to help with any program concerns you have. Can you please reach out to us at GPSreviews@noom.com?
",2022-12-04T21:50:37Z,1672938976,1670767261
en,com.wsl.noom,10.36.2,2022-10-13T13:27:52Z,3,,"After a month no luck. I feel as though most of the information is common knowledge and repeat of what I have known for years. Also, the daily weigh in is very depressing. I think a weekly weigh in would he more appropriate for the mind and to stay motivated. Half the time the bar code does not work. Although, 90% of our meals are homemade and it is hard to track calories. I have used free apps that work much better. Since doing this I am running more and drinking more water, so that is a plus",498,4d77bf59-812d-4269-8154-622d5edd1f80,Annette Pulford,https://play-lh.googleusercontent.com/a/AEdFTp7rTE8ttDciw6HCfferhchLMTw3Cr63RFMvIVbc,,"Thank you so much for your feedback on the app, Annette! We truly appreciate you taking the time to share your thoughts. Please know that you can always contact us at GPSreviews@noom.com if you would like to leave further feedback or ask any questions.",2022-10-13T13:37:00Z,1672938975,1666242284
